,DrugBank ID,Drug name,UniProt ID,UniProt Name
118,DB00357,Aminoglutethimide,P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial"
119,DB01223,Aminophylline,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
120,DB01223,Aminophylline,P30542,Adenosine receptor A1
121,DB01223,Aminophylline,P0DMS8,Adenosine receptor A3
122,DB01223,Aminophylline,Q92769,Histone deacetylase 2
123,DB01118,Amiodarone,Q12809,Potassium voltage-gated channel subfamily H member 2
124,DB01118,Amiodarone,Q9H252,Potassium voltage-gated channel subfamily H member 6
125,DB01118,Amiodarone,Q9NS40,Potassium voltage-gated channel subfamily H member 7
126,DB01118,Amiodarone,P08588,Beta-1 adrenergic receptor
127,DB01118,Amiodarone,P07550,Beta-2 adrenergic receptor
128,DB01118,Amiodarone,P13945,Beta-3 adrenergic receptor
129,DB01118,Amiodarone,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I
130,DB01118,Amiodarone,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
131,DB01118,Amiodarone,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D
132,DB01118,Amiodarone,O60840,Voltage-dependent L-type calcium channel subunit alpha-1F
133,DB01118,Amiodarone,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S
134,DB01118,Amiodarone,Q02641,Voltage-dependent L-type calcium channel subunit beta-1
135,DB01118,Amiodarone,Q08289,Voltage-dependent L-type calcium channel subunit beta-2
136,DB01118,Amiodarone,P54284,Voltage-dependent L-type calcium channel subunit beta-3
137,DB01118,Amiodarone,O00305,Voltage-dependent L-type calcium channel subunit beta-4
138,DB01118,Amiodarone,P10827,Thyroid hormone receptor alpha
139,DB01118,Amiodarone,P10828,Thyroid hormone receptor beta
140,DB01118,Amiodarone,P37231,Peroxisome proliferator-activated receptor gamma
141,DB01118,Amiodarone,Q07869,Peroxisome proliferator-activated receptor alpha
142,DB01118,Amiodarone,Q86YN6,Peroxisome proliferator-activated receptor gamma coactivator 1-beta
143,DB00321,Amitriptyline,P23975,Sodium-dependent noradrenaline transporter
144,DB00321,Amitriptyline,P31645,Sodium-dependent serotonin transporter
145,DB00321,Amitriptyline,P28223,5-hydroxytryptamine receptor 2A
146,DB00321,Amitriptyline,P08908,5-hydroxytryptamine receptor 1A
147,DB00321,Amitriptyline,P41143,Delta-type opioid receptor
148,DB00321,Amitriptyline,P41145,Kappa-type opioid receptor
149,DB00321,Amitriptyline,P04629,High affinity nerve growth factor receptor
150,DB00321,Amitriptyline,Q16620,BDNF/NT-3 growth factors receptor
151,DB00321,Amitriptyline,P35348,Alpha-1A adrenergic receptor
152,DB00321,Amitriptyline,P25100,Alpha-1D adrenergic receptor
153,DB00321,Amitriptyline,P08913,Alpha-2A adrenergic receptor
154,DB00321,Amitriptyline,P35367,Histamine H1 receptor
155,DB00321,Amitriptyline,O43526,Potassium voltage-gated channel subfamily KQT member 2
156,DB00321,Amitriptyline,Q09470,Potassium voltage-gated channel subfamily A member 1
157,DB00321,Amitriptyline,P25021,Histamine H2 receptor
158,DB00321,Amitriptyline,Q9H3N8,Histamine H4 receptor
159,DB00321,Amitriptyline,Q99720,Sigma non-opioid intracellular receptor 1
160,DB00321,Amitriptyline,P28335,5-hydroxytryptamine receptor 2C
161,DB00321,Amitriptyline,P35368,Alpha-1B adrenergic receptor
162,DB00321,Amitriptyline,P34969,5-hydroxytryptamine receptor 7
163,DB00321,Amitriptyline,P28221,5-hydroxytryptamine receptor 1D
164,DB00321,Amitriptyline,P35372,Mu-type opioid receptor
165,DB00321,Amitriptyline,P28222,5-hydroxytryptamine receptor 1B
166,DB00321,Amitriptyline,P50406,5-hydroxytryptamine receptor 6
167,DB00321,Amitriptyline,O43525,Potassium voltage-gated channel subfamily KQT member 3
168,DB00321,Amitriptyline,P08909,5-hydroxytryptamine receptor 2C
169,DB00321,Amitriptyline,P11229,Muscarinic acetylcholine receptor M1
170,DB00321,Amitriptyline,P08172,Muscarinic acetylcholine receptor M2
171,DB00321,Amitriptyline,P20309,Muscarinic acetylcholine receptor M3
172,DB00321,Amitriptyline,P08173,Muscarinic acetylcholine receptor M4
173,DB00321,Amitriptyline,P08912,Muscarinic acetylcholine receptor M5
174,DB00321,Amitriptyline,Q12809,Potassium voltage-gated channel subfamily H member 2
175,DB00321,Amitriptyline,Q9H252,Potassium voltage-gated channel subfamily H member 6
176,DB00321,Amitriptyline,Q9NS40,Potassium voltage-gated channel subfamily H member 7
177,DB00381,Amlodipine,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
178,DB00381,Amlodipine,Q02641,Voltage-dependent L-type calcium channel subunit beta-1
179,DB00381,Amlodipine,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
180,DB00381,Amlodipine,Q8IZS8,Voltage-dependent calcium channel subunit alpha-2/delta-3
181,DB00381,Amlodipine,P00915,Carbonic anhydrase 1
182,DB00381,Amlodipine,P17405,Sphingomyelin phosphodiesterase
183,DB00381,Amlodipine,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I
184,DB00381,Amlodipine,A0A024R8I1,Voltage-dependent N-type calcium channel subunit alpha
185,DB00381,Amlodipine,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
186,DB01351,Amobarbital,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
187,DB01351,Amobarbital,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
188,DB01351,Amobarbital,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
189,DB01351,Amobarbital,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
190,DB01351,Amobarbital,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
191,DB01351,Amobarbital,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
192,DB01351,Amobarbital,P43681,Neuronal acetylcholine receptor subunit alpha-4
193,DB01351,Amobarbital,P36544,Neuronal acetylcholine receptor subunit alpha-7
194,DB01351,Amobarbital,P42262,Glutamate receptor 2
195,DB01351,Amobarbital,Q13002,"Glutamate receptor ionotropic, kainate 2"
196,DB00182,Amphetamine,Q05940,Synaptic vesicular amine transporter
197,DB00182,Amphetamine,Q01959,Sodium-dependent dopamine transporter
198,DB00182,Amphetamine,Q16568,Cocaine- and amphetamine-regulated transcript protein
199,DB00182,Amphetamine,Q96RJ0,Trace amine-associated receptor 1
200,DB00182,Amphetamine,P23975,Sodium-dependent noradrenaline transporter
201,DB00182,Amphetamine,P35348,Alpha-1A adrenergic receptor
202,DB00182,Amphetamine,P35368,Alpha-1B adrenergic receptor
203,DB00182,Amphetamine,P25100,Alpha-1D adrenergic receptor
204,DB00182,Amphetamine,P08913,Alpha-2A adrenergic receptor
205,DB00182,Amphetamine,P18089,Alpha-2B adrenergic receptor
206,DB00182,Amphetamine,P18825,Alpha-2C adrenergic receptor
207,DB00182,Amphetamine,P08588,Beta-1 adrenergic receptor
208,DB00182,Amphetamine,P07550,Beta-2 adrenergic receptor
209,DB00182,Amphetamine,P13945,Beta-3 adrenergic receptor
210,DB00182,Amphetamine,P14416,D(2) dopamine receptor
211,DB00182,Amphetamine,P27338,Amine oxidase [flavin-containing] B
212,DB00182,Amphetamine,P31645,Sodium-dependent serotonin transporter
213,DB00182,Amphetamine,P21397,Amine oxidase [flavin-containing] A
214,DB00182,Amphetamine,P27338,Amine oxidase [flavin-containing] B
215,DB00182,Amphetamine,Q99870,Vesicle monoamine transporter type 2
216,DB01427,Amrinone,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
217,DB01427,Amrinone,P01375,Tumor necrosis factor
218,DB01427,Amrinone,Q13370,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B"
219,DB01427,Amrinone,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
220,DB01427,Amrinone,Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
221,DB01427,Amrinone,Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C"
222,DB01427,Amrinone,Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
223,DB01217,Anastrozole,P11511,Aromatase
224,DB01125,Anisindione,P38435,Vitamin K-dependent gamma-carboxylase
225,DB00714,Apomorphine,P21917,D(4) dopamine receptor
226,DB00714,Apomorphine,P14416,D(2) dopamine receptor
227,DB00714,Apomorphine,P35462,D(3) dopamine receptor
228,DB00714,Apomorphine,P21918,D(1B) dopamine receptor
229,DB00714,Apomorphine,P21728,D(1A) dopamine receptor
230,DB00714,Apomorphine,P18825,Alpha-2C adrenergic receptor
231,DB00714,Apomorphine,P18089,Alpha-2B adrenergic receptor
232,DB00714,Apomorphine,P08908,5-hydroxytryptamine receptor 1A
233,DB00714,Apomorphine,P28223,5-hydroxytryptamine receptor 2A
234,DB00714,Apomorphine,P41595,5-hydroxytryptamine receptor 2B
235,DB00714,Apomorphine,P28335,5-hydroxytryptamine receptor 2C
236,DB00714,Apomorphine,P08913,Alpha-2A adrenergic receptor
237,DB00714,Apomorphine,P28221,5-hydroxytryptamine receptor 1D
238,DB00714,Apomorphine,P28222,5-hydroxytryptamine receptor 1B
239,DB00407,Ardeparin,P01008,Antithrombin-III
240,DB00407,Ardeparin,P05546,Heparin cofactor 2
241,DB00278,Argatroban,P00734,Prothrombin
242,DB01238,Aripiprazole,P08908,5-hydroxytryptamine receptor 1A
243,DB01238,Aripiprazole,P14416,D(2) dopamine receptor
244,DB01238,Aripiprazole,P28223,5-hydroxytryptamine receptor 2A
245,DB01238,Aripiprazole,P35348,Alpha-1A adrenergic receptor
246,DB01238,Aripiprazole,P35368,Alpha-1B adrenergic receptor
247,DB01238,Aripiprazole,P35462,D(3) dopamine receptor
248,DB01238,Aripiprazole,P28221,5-hydroxytryptamine receptor 1D
249,DB01238,Aripiprazole,P34969,5-hydroxytryptamine receptor 7
250,DB01238,Aripiprazole,P08913,Alpha-2A adrenergic receptor
251,DB01238,Aripiprazole,P18825,Alpha-2C adrenergic receptor
252,DB01238,Aripiprazole,P35367,Histamine H1 receptor
253,DB01238,Aripiprazole,P28222,5-hydroxytryptamine receptor 1B
254,DB01238,Aripiprazole,P28335,5-hydroxytryptamine receptor 2C
255,DB01238,Aripiprazole,P46098,5-hydroxytryptamine receptor 3A
256,DB01238,Aripiprazole,P50406,5-hydroxytryptamine receptor 6
257,DB01238,Aripiprazole,P21728,D(1A) dopamine receptor
258,DB01238,Aripiprazole,P21917,D(4) dopamine receptor
259,DB01238,Aripiprazole,P18089,Alpha-2B adrenergic receptor
260,DB01238,Aripiprazole,P28566,5-hydroxytryptamine receptor 1E
261,DB01238,Aripiprazole,P21918,D(1B) dopamine receptor
262,DB01238,Aripiprazole,P41595,5-hydroxytryptamine receptor 2B
263,DB01238,Aripiprazole,P47898,5-hydroxytryptamine receptor 5A
264,DB01238,Aripiprazole,P08588,Beta-1 adrenergic receptor
265,DB01238,Aripiprazole,P07550,Beta-2 adrenergic receptor
266,DB01238,Aripiprazole,P25021,Histamine H2 receptor
267,DB01238,Aripiprazole,Q9Y5N1,Histamine H3 receptor
268,DB01238,Aripiprazole,Q9H3N8,Histamine H4 receptor
269,DB01238,Aripiprazole,P11229,Muscarinic acetylcholine receptor M1
270,DB01238,Aripiprazole,P08172,Muscarinic acetylcholine receptor M2
271,DB01238,Aripiprazole,P20309,Muscarinic acetylcholine receptor M3
272,DB01238,Aripiprazole,P08173,Muscarinic acetylcholine receptor M4
273,DB01238,Aripiprazole,P08912,Muscarinic acetylcholine receptor M5
274,DB01238,Aripiprazole,P41145,Kappa-type opioid receptor
275,DB01238,Aripiprazole,P35372,Mu-type opioid receptor
276,DB01238,Aripiprazole,P41143,Delta-type opioid receptor
277,DB01238,Aripiprazole,Q05586,"Glutamate receptor ionotropic, NMDA 1"
278,DB01238,Aripiprazole,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
279,DB01238,Aripiprazole,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
280,DB01238,Aripiprazole,Q14957,"Glutamate receptor ionotropic, NMDA 2C"
281,DB01238,Aripiprazole,O15399,"Glutamate receptor ionotropic, NMDA 2D"
282,DB01238,Aripiprazole,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
283,DB01238,Aripiprazole,O60391,"Glutamate receptor ionotropic, NMDA 3B"
284,DB01238,Aripiprazole,Q01959,Sodium-dependent dopamine transporter
285,DB01238,Aripiprazole,P31645,Sodium-dependent serotonin transporter
286,DB00637,Astemizole,P35367,Histamine H1 receptor
287,DB00637,Astemizole,Q12809,Potassium voltage-gated channel subfamily H member 2
288,DB00637,Astemizole,O95259,Potassium voltage-gated channel subfamily H member 1
289,DB00637,Astemizole,P10636,Microtubule-associated protein tau
290,DB01072,Atazanavir,Q72874,Pol polyprotein
291,DB00335,Atenolol,P08588,Beta-1 adrenergic receptor
292,DB00335,Atenolol,P07550,Beta-2 adrenergic receptor
293,DB00289,Atomoxetine,P23975,Sodium-dependent noradrenaline transporter
294,DB00289,Atomoxetine,P31645,Sodium-dependent serotonin transporter
295,DB00289,Atomoxetine,Q05586,"Glutamate receptor ionotropic, NMDA 1"
296,DB00289,Atomoxetine,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
297,DB00289,Atomoxetine,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
298,DB00289,Atomoxetine,Q14957,"Glutamate receptor ionotropic, NMDA 2C"
299,DB00289,Atomoxetine,O15399,"Glutamate receptor ionotropic, NMDA 2D"
300,DB00289,Atomoxetine,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
301,DB00289,Atomoxetine,O60391,"Glutamate receptor ionotropic, NMDA 3B"
302,DB00289,Atomoxetine,P48549,G protein-activated inward rectifier potassium channel 1
303,DB00289,Atomoxetine,P41145,Kappa-type opioid receptor
304,DB01076,Atorvastatin,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase
305,DB01076,Atorvastatin,P27487,Dipeptidyl peptidase 4
306,DB01076,Atorvastatin,P35869,Aryl hydrocarbon receptor
307,DB01076,Atorvastatin,Q92769,Histone deacetylase 2
308,DB01076,Atorvastatin,Q14994,Nuclear receptor subfamily 1 group I member 3
309,DB00572,Atropine,P11229,Muscarinic acetylcholine receptor M1
310,DB00572,Atropine,P08172,Muscarinic acetylcholine receptor M2
311,DB00572,Atropine,P20309,Muscarinic acetylcholine receptor M3
312,DB00572,Atropine,P08173,Muscarinic acetylcholine receptor M4
313,DB00572,Atropine,P08912,Muscarinic acetylcholine receptor M5
314,DB00572,Atropine,P23415,Glycine receptor subunit alpha-1
315,DB00572,Atropine,P43681,Neuronal acetylcholine receptor subunit alpha-4
316,DB00572,Atropine,P17787,Neuronal acetylcholine receptor subunit beta-2
317,DB00995,Auranofin,P30044,"Peroxiredoxin-5, mitochondrial"
318,DB00995,Auranofin,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
319,DB00928,Azacitidine,P26358,DNA (cytosine-5)-methyltransferase 1
320,DB00993,Azathioprine,P63000,Ras-related C3 botulinum toxin substrate 1
321,DB00181,Baclofen,Q9UBS5,Gamma-aminobutyric acid type B receptor subunit 1
322,DB00181,Baclofen,O75899,Gamma-aminobutyric acid type B receptor subunit 2
323,DB01014,Balsalazide,P37231,Peroxisome proliferator-activated receptor gamma
324,DB01014,Balsalazide,P35354,Prostaglandin G/H synthase 2
325,DB01014,Balsalazide,P23219,Prostaglandin G/H synthase 1
326,DB01014,Balsalazide,P09917,Arachidonate 5-lipoxygenase
327,DB00542,Benazepril,P12821,Angiotensin-converting enzyme
328,DB00436,Bendroflumethiazide,P55017,Solute carrier family 12 member 3
329,DB00436,Bendroflumethiazide,Q12791,Calcium-activated potassium channel subunit alpha-1
330,DB00436,Bendroflumethiazide,P00915,Carbonic anhydrase 1
331,DB00436,Bendroflumethiazide,P00918,Carbonic anhydrase 2
332,DB00436,Bendroflumethiazide,P22748,Carbonic anhydrase 4
333,DB01086,Benzocaine,Q9Y5Y9,Sodium channel protein type 10 subunit alpha
334,DB00868,Benzonatate,Q14524,Sodium channel protein type 5 subunit alpha
335,DB00865,Benzphetamine,Q05940,Synaptic vesicular amine transporter
336,DB00865,Benzphetamine,P08913,Alpha-2A adrenergic receptor
337,DB00865,Benzphetamine,P35348,Alpha-1A adrenergic receptor
338,DB00865,Benzphetamine,Q01959,Sodium-dependent dopamine transporter
339,DB00767,Benzquinamide,P35367,Histamine H1 receptor
340,DB00767,Benzquinamide,P08173,Muscarinic acetylcholine receptor M4
341,DB00767,Benzquinamide,P11229,Muscarinic acetylcholine receptor M1
342,DB00767,Benzquinamide,P08912,Muscarinic acetylcholine receptor M5
343,DB00767,Benzquinamide,P08172,Muscarinic acetylcholine receptor M2
344,DB00767,Benzquinamide,P20309,Muscarinic acetylcholine receptor M3
345,DB01244,Bepridil,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
346,DB01244,Bepridil,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H
347,DB01244,Bepridil,Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2
348,DB01244,Bepridil,P05023,Sodium/potassium-transporting ATPase subunit alpha-1
349,DB01244,Bepridil,P51787,Potassium voltage-gated channel subfamily KQT member 1
350,DB01244,Bepridil,P63316,"Troponin C, slow skeletal and cardiac muscles"
351,DB01244,Bepridil,P0DP23,Calmodulin
352,DB01244,Bepridil,Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
353,DB01244,Bepridil,P54750,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
354,DB01244,Bepridil,Q12809,Potassium voltage-gated channel subfamily H member 2
355,DB00443,Betamethasone,P04150,Glucocorticoid receptor
356,DB00195,Betaxolol,P08588,Beta-1 adrenergic receptor
357,DB00195,Betaxolol,P07550,Beta-2 adrenergic receptor
358,DB01019,Bethanechol,P08172,Muscarinic acetylcholine receptor M2
359,DB01019,Bethanechol,P11229,Muscarinic acetylcholine receptor M1
360,DB01019,Bethanechol,P20309,Muscarinic acetylcholine receptor M3
361,DB01019,Bethanechol,P08173,Muscarinic acetylcholine receptor M4
362,DB00307,Bexarotene,P19793,Retinoic acid receptor RXR-alpha
363,DB00307,Bexarotene,P28702,Retinoic acid receptor RXR-beta
364,DB00307,Bexarotene,P48443,Retinoic acid receptor RXR-gamma
365,DB01128,Bicalutamide,P10275,Androgen receptor
366,DB00905,Bimatoprost,P34995,Prostaglandin E2 receptor EP1 subtype
367,DB00905,Bimatoprost,P43088,Prostaglandin F2-alpha receptor
368,DB00905,Bimatoprost,P43115,Prostaglandin E2 receptor EP3 subtype
369,DB00810,Biperiden,P11229,Muscarinic acetylcholine receptor M1
370,DB00612,Bisoprolol,P08588,Beta-1 adrenergic receptor
371,DB00612,Bisoprolol,P07550,Beta-2 adrenergic receptor
372,DB00901,Bitolterol,P07550,Beta-2 adrenergic receptor
